AZ;Arizona;Phoenix;Phoenix
AR;Arkansas;Little Rock;Little Rock
CO;Colorado;Denver;Denver
GA;Georgia;Atlanta;Atlanta
HI;Hawaii;Honolulu;Honolulu
ID;Idaho;Boise;Boise
IN;Indiana;Indianapolis;Indianapolis
IA;Iowa;Des Moines;Des Moines
MA;Massachusetts;Boston;Boston
MS;Mississippi;Jackson;Jackson
OH;Ohio;Columbus;Columbus
OK;Oklahoma;Oklahoma City;Oklahoma City
RI;Rhode Island;Providence;Providence
SC;South Carolina;Columbia;Columbia
UT;Utah;Salt Lake City;Salt Lake City
WV;West Virginia;Charleston;Charleston
WY;Wyoming;Cheyenne;Cheyenne
