ID_MAIN;LABEL_MAIN;ID_LOOKUP1;LABEL_LOOKUP1
1;1_MAIN_A;1;1_LOOKUP_AA
1;1_MAIN_A;1;1_LOOKUP_A
1;1_MAIN_A;2;2_LOOKUP_BBB
1;1_MAIN_A;2;2_LOOKUP_BBBB
1;1_MAIN_A;3;3_LOOKUP_CCCCC
1;1_MAIN_A;3;3_LOOKUP_CCCCCC
1;1_MAIN_A;4;4_LOOKUP_DDDDDDDD
1;1_MAIN_A;4;4_LOOKUP_DDDDDDD
1;1_MAIN_AAAA;1;1_LOOKUP_AA
1;1_MAIN_AAAA;1;1_LOOKUP_A
1;1_MAIN_AAAA;2;2_LOOKUP_BBB
1;1_MAIN_AAAA;2;2_LOOKUP_BBBB
1;1_MAIN_AAAA;3;3_LOOKUP_CCCCC
1;1_MAIN_AAAA;3;3_LOOKUP_CCCCCC
1;1_MAIN_AAAA;4;4_LOOKUP_DDDDDDDD
1;1_MAIN_AAAA;4;4_LOOKUP_DDDDDDD
1;1_MAIN_AAA;1;1_LOOKUP_AA
1;1_MAIN_AAA;1;1_LOOKUP_A
1;1_MAIN_AAA;2;2_LOOKUP_BBB
1;1_MAIN_AAA;2;2_LOOKUP_BBBB
1;1_MAIN_AAA;3;3_LOOKUP_CCCCC
1;1_MAIN_AAA;3;3_LOOKUP_CCCCCC
1;1_MAIN_AAA;4;4_LOOKUP_DDDDDDDD
1;1_MAIN_AAA;4;4_LOOKUP_DDDDDDD
2;2_MAIN_BB;1;1_LOOKUP_AA
2;2_MAIN_BB;1;1_LOOKUP_A
2;2_MAIN_BB;2;2_LOOKUP_BBB
2;2_MAIN_BB;2;2_LOOKUP_BBBB
2;2_MAIN_BB;3;3_LOOKUP_CCCCC
2;2_MAIN_BB;3;3_LOOKUP_CCCCCC
2;2_MAIN_BB;4;4_LOOKUP_DDDDDDDD
2;2_MAIN_BB;4;4_LOOKUP_DDDDDDD
3;3_MAIN_CCC;1;1_LOOKUP_AA
3;3_MAIN_CCC;1;1_LOOKUP_A
3;3_MAIN_CCC;2;2_LOOKUP_BBB
3;3_MAIN_CCC;2;2_LOOKUP_BBBB
3;3_MAIN_CCC;3;3_LOOKUP_CCCCC
3;3_MAIN_CCC;3;3_LOOKUP_CCCCCC
3;3_MAIN_CCC;4;4_LOOKUP_DDDDDDDD
3;3_MAIN_CCC;4;4_LOOKUP_DDDDDDD
4;4_MAIN_DDDD;1;1_LOOKUP_AA
4;4_MAIN_DDDD;1;1_LOOKUP_A
4;4_MAIN_DDDD;2;2_LOOKUP_BBB
4;4_MAIN_DDDD;2;2_LOOKUP_BBBB
4;4_MAIN_DDDD;3;3_LOOKUP_CCCCC
4;4_MAIN_DDDD;3;3_LOOKUP_CCCCCC
4;4_MAIN_DDDD;4;4_LOOKUP_DDDDDDDD
4;4_MAIN_DDDD;4;4_LOOKUP_DDDDDDD
5;5_MAIN_EEEEE;1;1_LOOKUP_AA
5;5_MAIN_EEEEE;1;1_LOOKUP_A
5;5_MAIN_EEEEE;2;2_LOOKUP_BBB
5;5_MAIN_EEEEE;2;2_LOOKUP_BBBB
5;5_MAIN_EEEEE;3;3_LOOKUP_CCCCC
5;5_MAIN_EEEEE;3;3_LOOKUP_CCCCCC
5;5_MAIN_EEEEE;4;4_LOOKUP_DDDDDDDD
5;5_MAIN_EEEEE;4;4_LOOKUP_DDDDDDD
