ID_MAIN;LABEL_MAIN;ID_LOOKUP_ALL_MATCHES;LABEL_LOOKUP_ALL_MATCHES;OBJECT_LOOKUP_ALL_MATCHES;ID_LOOKUP_FIRST_MATCH;OBJECT_LOOKUP_FIRST_MATCH;LABEL_LOOKUP_FIRST_MATCH;ID_LOOKUP_LAST_MATCH;OBJECT_LOOKUP_LAST_MATCH;LABEL_LOOKUP_LAST_MATCH;ID_LOOKUP_UNIQUE_MATCH;LABEL_LOOKUP_UNIQUE_MATCH;OBJECT_LOOKUP_UNIQUE_MATCH;ID_LOOKUP_ALL_ROWS;OBJECT_LOOKUP_ALL_ROWS;LABEL_LOOKUP_ALL_ROWS
1;1_MAIN_A;0;;;;;;;;;;;;2;[ integer=2, string=2, object =null ];2_LOOKUP_BB
1;1_MAIN_A;0;;;;;;;;;;;;3;[ integer=3, string=3, object =[ integer=3, string=3, object =3 ] ];3_LOOKUP_CCC
2;2_MAIN_BB;2;2_LOOKUP_BB;[ integer=2, string=2, object =null ];2;[ integer=2, string=2, object =null ];2_LOOKUP_BB;2;[ integer=2, string=2, object =null ];2_LOOKUP_BB;2;2_LOOKUP_BB;[ integer=2, string=2, object =null ];2;[ integer=2, string=2, object =null ];2_LOOKUP_BB
2;2_MAIN_BB;2;2_LOOKUP_BB;[ integer=2, string=2, object =null ];2;[ integer=2, string=2, object =null ];2_LOOKUP_BB;2;[ integer=2, string=2, object =null ];2_LOOKUP_BB;2;2_LOOKUP_BB;[ integer=2, string=2, object =null ];3;[ integer=3, string=3, object =[ integer=3, string=3, object =3 ] ];3_LOOKUP_CCC
3;3_MAIN_CCC;3;3_LOOKUP_CCC;[ integer=3, string=3, object =[ integer=3, string=3, object =3 ] ];3;[ integer=3, string=3, object =[ integer=3, string=3, object =3 ] ];3_LOOKUP_CCC;3;[ integer=3, string=3, object =[ integer=3, string=3, object =3 ] ];3_LOOKUP_CCC;3;3_LOOKUP_CCC;[ integer=3, string=3, object =[ integer=3, string=3, object =3 ] ];2;[ integer=2, string=2, object =null ];2_LOOKUP_BB
3;3_MAIN_CCC;3;3_LOOKUP_CCC;[ integer=3, string=3, object =[ integer=3, string=3, object =3 ] ];3;[ integer=3, string=3, object =[ integer=3, string=3, object =3 ] ];3_LOOKUP_CCC;3;[ integer=3, string=3, object =[ integer=3, string=3, object =3 ] ];3_LOOKUP_CCC;3;3_LOOKUP_CCC;[ integer=3, string=3, object =[ integer=3, string=3, object =3 ] ];3;[ integer=3, string=3, object =[ integer=3, string=3, object =3 ] ];3_LOOKUP_CCC
4;4_MAIN_DDDD;0;;;;;;;;;;;;2;[ integer=2, string=2, object =null ];2_LOOKUP_BB
4;4_MAIN_DDDD;0;;;;;;;;;;;;3;[ integer=3, string=3, object =[ integer=3, string=3, object =3 ] ];3_LOOKUP_CCC
5;5_MAIN_EEEEE;0;;;;;;;;;;;;2;[ integer=2, string=2, object =null ];2_LOOKUP_BB
5;5_MAIN_EEEEE;0;;;;;;;;;;;;3;[ integer=3, string=3, object =[ integer=3, string=3, object =3 ] ];3_LOOKUP_CCC
5;5_MAIN_EEEEEE;0;;;;;;;;;;;;2;[ integer=2, string=2, object =null ];2_LOOKUP_BB
5;5_MAIN_EEEEEE;0;;;;;;;;;;;;3;[ integer=3, string=3, object =[ integer=3, string=3, object =3 ] ];3_LOOKUP_CCC
