GRIZZARD CO.;110 N MARYLAND AVE;GLENDALE;CA;912066;FR;8185431314;20110101;5.0;1;4;false;[]
GRIZZARD;110 NORTH MARYLAND AVENUE;GLENDALE;CA;912066;US;9003254892;20110118;4.0;1;0;false;[Credibility]
GRIZZARD INC;110 N. MARYLAND AVENUE;GLENDALE;CA;91206;US;(818) 543-1315;20110103;2.0;1;0;false;[acctName]
GRIZZARD CO;1480 S COLORADO BOULEVARD;LOS ANGELES;CB;91206;US;(800) 325-4892;20110115;1.0;1;0;false;[state, addr]
GRIZZARD CO.;110 NORTH MARYLAND AVENUE;GLENDALE;CA;91206;US;9003254892;20110118;5.0;1;4;true;[state, Credibility, acctName, addr]
GRIZZARD CO.;110 N MARYLAND AVE;GLENDALE;CA;912066;FR;8185431314;20110101;5.0;2;4;false;[]
GRIZZARD;110 NORTH MARYLAND AVENUE;GLENDALE;CA;912066;US;9003254892;20110118;4.0;2;0;false;[Credibility]
GRIZZARD INC;110 N. MARYLAND AVENUE;GLENDALE;CA;91206;US;(818) 543-1315;20110103;2.0;2;0;false;[acctName]
GRIZZARD CO;1480 S COLORADO BOULEVARD;LOS ANGELES;CB;91206;US;(800) 325-4892;20110115;1.0;2;0;false;[state, addr]
GRIZZARD CO.;110 NORTH MARYLAND AVENUE;GLENDALE;CA;91206;US;9003254892;20110118;5.0;2;4;true;[state, Credibility, acctName, addr]
GRIZZARD CO;1480 S COLORADO BOULEVARD;LOS ANGELES;CB;91206;US;(800) 325-4892;20110115;1.0;3;1;false;[]
;1480 S COLORADO BOULEVARD;LOS ANGELES;CB;91206;US;(800) 325-4892;20110115;;3;1;true;[]
