Population (x1000);﻿City;Population
Population (x1000);Beijing;10233
Population (x1000);Moscow;10452
Population (x1000);Seoul;10422
Population (x1000);Tokyo;8731
Population (x1000);Jakarta;8490
Population (x1000);New York;8310
Area;﻿City;LandArea
Area;Beijing;1418
Area;Moscow;1081
Area;Seoul;605
Area;Tokyo;617
Area;Jakarta;664
Area;New York;789
Density;﻿City;PopulationDensity
Density;Beijing;7620
Density;Moscow;9644
Density;Seoul;17215
Density;Tokyo;14151
Density;Jakarta;12738
Density;New York;10452
