AL;Alabama;Montgomery;Birmingham city
AK;Alaska;Juneau;Anchorage
CA;California;Sacramento;Los Angeles
CT;Connecticut;Hartford;Bridgeport
DE;Delaware;Dover;Wilmington
FL;Florida;Tallahassee;Jacksonville
IL;Illinois;Springfield;Chicago
KS;Kansas;Topeka;Wichita
KY;Kentucky;Frankfort;Louisville
LA;Louisiana;Baton Rouge;New Orleans *
ME;Maine;Augusta;Portland
MD;Maryland;Annapolis;Baltimore
MI;Michigan;Lansing;Detroit
MN;Minnesota;Saint Paul;Minneapolis
MO;Missouri;Jefferson City;Kansas City
MT;Montana;Helena;Billings
NE;Nebraska;Lincoln;Omaha
NV;Nevada;Carson City;Las Vegas
NH;New Hampshire;Concord;Manchester
NJ;New Jersey;Trenton;Newark
NM;New Mexico;Santa Fe;Albuquerque
NY;New York;Albany;New York City
NC;North Carolina;Raleigh;Charlotte
ND;North Dakota;Bismarck;Fargo
OR;Oregon;Salem;Portland
PA;Pennsylvania;Harrisburg;Philadelphia
SD;South Dakota;Pierre;Sioux Falls
TN;Tennessee;Nashville;Memphis
TX;Texas;Austin;Houston
VT;Vermont;Montpelier;Burlington
VA;Virginia;Richmond;Virginia Beach
WA;Washington;Olympia;Seattle
WI;Wisconsin;Madison;Milwaukee
