ID_MAIN;LABEL_MAIN;LOOKUP_FILE_INDEX;ID_LOOKUP1;LABEL_LOOKUP1
1;1_MAIN_A;fileIndex=2;1;1_LOOKUP_A
2;2_MAIN_BB;fileIndex=3;2;2_LOOKUP_BBB
2;2_MAIN_BB;fileIndex=3;2;2_LOOKUP_BBBB
3;3_MAIN_CCC;fileIndex=4;3;3_LOOKUP_CCCCCCCCCCC
3;3_MAIN_CCC;fileIndex=4;3;3_LOOKUP_CCCCC
3;3_MAIN_CCC;fileIndex=4;3;3_LOOKUP_CCCCCC
4;4_MAIN_DDDD;fileIndex=4;4;4_LOOKUP_DDDDDDDD
4;4_MAIN_DDDD;fileIndex=4;4;4_LOOKUP_DDDDDDD
4;4_MAIN_DDDD;fileIndex=4;4;4_LOOKUP_DDDDDDDDDDDD
4;4_MAIN_DDDDDD;fileIndex=5;4;4_LOOKUP_DDDDDDDD
4;4_MAIN_DDDDDD;fileIndex=5;4;4_LOOKUP_DDDDDDD
4;4_MAIN_DDDDDD;fileIndex=5;4;4_LOOKUP_DDDDDDDDDDDD
4;4_MAIN_DDDDDDD;fileIndex=2;4;4_LOOKUP_DDDDDDDD
4;4_MAIN_DDDDDDD;fileIndex=2;4;4_LOOKUP_DDDDDDD
4;4_MAIN_DDDDDDD;fileIndex=2;4;4_LOOKUP_DDDDDDDDDDDD
1;1_MAIN_AA;fileIndex=1;1;1_LOOKUP_A
5;5_MAIN_EEEEE;fileIndex=4;;
