widget_producer;widget_shape;widget_color;plasticWidget_producer;plasticWidget_shape;plasticWidget_color;plasticWidget_moldProcess;woodWidget_producer;woodWidget_shape;woodWidget_color;woodWidget_woodType;shirt_producer;shirt_name;shirt_size;shirt_system;shirt_comment;hat_producer;hat_number;hat_size;hat_system;umbrella_producer;umbrella_number;umbrella_name;accessory_name;accessory_producer;accssory_number
Smally;round;yellow;Brandy;circle;blue;sandCast;Sunny;square;orange;elm;Polo;Short-Sleeved Linen Blouse;10;business;good;Polo;563;L;casual;Switch;443;Deluxe Golf Umbrella;Special Seasonal;;999
Smally;round;yellow;Brandy;circle;blue;sandCast;Sunny;square;orange;elm;Polo;Short-Sleeved Linen Blouse;10;business;good;Polo;563;L;casual;;402;Three-Floded Umbrella;Special Seasonal;;999
Smally;round;yellow;Brandy;circle;blue;sandCast;Sunny;square;orange;elm;Polo;Short-Sleeved Linen Blouse;10;business;good;Channel;566;M;;Switch;443;Deluxe Golf Umbrella;Special Seasonal;;999
Smally;round;yellow;Brandy;circle;blue;sandCast;Sunny;square;orange;elm;Polo;Short-Sleeved Linen Blouse;10;business;good;Channel;566;M;;;402;Three-Floded Umbrella;Special Seasonal;;999
Smally;round;yellow;Brandy;circle;blue;sandCast;Sunny;square;orange;elm;;Long-Sleeved Linen Blouse;12;;general;Polo;563;L;casual;Switch;443;Deluxe Golf Umbrella;Special Seasonal;;999
Smally;round;yellow;Brandy;circle;blue;sandCast;Sunny;square;orange;elm;;Long-Sleeved Linen Blouse;12;;general;Polo;563;L;casual;;402;Three-Floded Umbrella;Special Seasonal;;999
Smally;round;yellow;Brandy;circle;blue;sandCast;Sunny;square;orange;elm;;Long-Sleeved Linen Blouse;12;;general;Channel;566;M;;Switch;443;Deluxe Golf Umbrella;Special Seasonal;;999
Smally;round;yellow;Brandy;circle;blue;sandCast;Sunny;square;orange;elm;;Long-Sleeved Linen Blouse;12;;general;Channel;566;M;;;402;Three-Floded Umbrella;Special Seasonal;;999
Smally;round;yellow;Brandy;circle;blue;sandCast;Smally;oval;dark;poplar;Polo;Short-Sleeved Linen Blouse;10;business;good;Polo;563;L;casual;Switch;443;Deluxe Golf Umbrella;Special Seasonal;;999
Smally;round;yellow;Brandy;circle;blue;sandCast;Smally;oval;dark;poplar;Polo;Short-Sleeved Linen Blouse;10;business;good;Polo;563;L;casual;;402;Three-Floded Umbrella;Special Seasonal;;999
