/************************************************************/;;;;;;;;;;;;;
/*******  Extract on Mon Oct 02 10:30:19 CEST 2006  ****************/;;;;;;;;;;;;;
/************************************************************/;;;;;;;;;;;;;


id;CustomerName;CustomerAddress;idState;id2;RegTime;RegisterTime;Somme1;Somme2;Somme3;Somme4;Somme5;Somme6;Somme7
1;Griffith Paving and Sealcoatin;103 Calais Drive;7;51;03/11/2006 09:20;2001-01-17 06:26:40.000;67852;61521.4852;4949;224;43327.3308;1.406437E+6;170080625.0
2;Bill's Dive Shop;511 Maple Ave.  Apt. 1B;35;5;19/11/2004 15:48;2002-06-07 09:40:00.000;88792;15434.1000;6068;240;71267.0840;2.125179E+6;751184334.0
3;Childress Child Day Care;662 Lyons Circle;1;51;16/02/2005 08:27;1990-04-01 21:00:00.000;35340;17856.8818;4029;120;15400.7700;4.618303E+6;65740262.0
4;Facelift Kitchen and Bath;807 Old Trail Rd.;2;1;22/08/2002 09:55;1972-04-23 18:00:00.000;6097.;55560.2387;10862;20;6208.7006;3.22704E+6;546103764.0
5;Terrinni & Son Auto and Truck;770 Exmoor Rd.;2;51;28/06/2001 09:15;1982-04-19 10:26:40.000;5146.;39098.1148;5634;164;31185.8769;4.941905E+6;373640336.0
6;Kermit the Pet Shop;1860 Parkside Ln.;28;15;17/08/2003 10:07;2006-05-27 17:00:00.000;16087;29924.9294;28218;155;20177.2875;4.421147E+6;753720180.0
7;Tub's Furniture Store;807 Old Trail Rd.;15;9;27/08/2000 03:13;1970-03-27 23:08:16.000;53216;65352.5674;4154;16;71550.4113;2.5731E+6;315786180.0
8;Toggle & Myerson Ltd;undefined;9;15;24/03/2006 23:07;2005-08-02 01:26:40.000;74168;77920.6026;11869;176;66854.5874;97164.0;67655582.0
9;Childress Child Day Care;788 Tennyson Ave.;12;33;10/09/2001 06:33;1994-05-03 11:13:20.000;92176;56844.1263;6883;184;43870.4472;6.063255E+6;666539524.0
10;Elle Hypnosis and Therapy Cent;2032 Northbrook Ct.;1;7;11/01/1977 03:07;1975-06-10 20:20:00.000;48498;45844.9148;28995;232;80928.5470;3.10936E+6;521224820.0
11;Lennox Air Pollution Control;4522 N. Greenview Apt. 1B;48;35;20/07/1987 07:13;1983-02-26 17:08:16.000;23992;93520.1160;5652;20;40124.6930;446948.0;170898754.0
12;Keyth Contracting and Repair;1547 Knolwood Rd.;25;39;12/01/2000 15:33;2001-09-10 11:01:36.000;27786;46530.0991;13433;243;3935.4089;9.789232E+6;432003753.0
13;Park District Of America;2678 Sheridan Rd.;46;41;08/06/2003 11:15;2005-10-02 00:34:56.000;5448.;29062.8166;19920;160;87480.3896;6.89544E+6;85570950.0
14;Nirabi Auto Service;1915 Lewis Ln.  Apt 13;8;5;19/06/2002 07:15;1997-02-18 21:06:40.000;23220;43086.6464;17274;16;99682.3076;8.471542E+6;205949360.0
15;Darcy Frame and Matting Servic;1633 McGovern place;21;28;20/10/1987 12:22;2001-01-07 20:40:00.000;46096;31014.8296;6654;190;18805.9242;9.963925E+6;399714613.0
16;Glenwood Credit Union;511 Maple Ave.  Apt. 1B;46;15;17/07/2000 17:27;2003-12-03 19:08:16.000;90440;31684.7929;15939;27;77115.5191;4.419865E+6;465858288.0
17;Gourmet the Frog;788 Tennyson Ave.;1;9;07/09/2002 03:55;1983-01-31 22:26:40.000;67680;62038.7700;9582;72;1608.3372;8.109696E+6;236460384.0
18;Acturial Enterprises Ltd.;3385 University Ave.;34;12;07/04/2001 10:42;2004-05-31 15:00:00.000;45292;17008.7659;1908;177;256.4366;6.964336E+6;717628602.0
19;Salt & Pepper Catering Service;965 Marion Place Apt. 65C;44;33;20/12/2006 10:02;2006-01-24 10:53:20.000;13458;52120.6184;22731;178;94300.3806;4.2459E+6;154573562.0
20;Rythmics Ltd.;1875 Roger Williams Ave.;22;48;05/01/2005 16:27;2000-03-31 10:53:20.000;70685;28463.9495;31856;157;85865.0425;4.36644E+6;42346248.0
21;Parkway Auto Body;1859 Green Bay Rd.;27;25;12/02/1974 11:20;2006-06-09 01:28:16.000;62605;8387.3210;7920;75;15343.2416;4.092882E+6;4432200.0
22;Futoons Cartoons Emporium;1486 Old Deerfield Rd.;24;46;08/10/2000 23:00;1997-01-12 00:01:36.000;73220;51850.6979;27106;8;59692.3700;4.230103E+6;563061094.0
23;Glenn Oaks Office Supplies;1882 St. Johns;10;8;03/09/2000 10:47;2003-09-16 03:14:56.000;86100;54079.8900;1857;226;87540.9420;7.898448E+6;406228284.0
24;Garfield Appliance Service;3150 Skokie Valley Rd.;33;21;26/06/2001 00:47;2004-10-31 05:20:00.000;74224;85912.7234;4905;108;90744.9130;9.107724E+6;293853900.0
25;New Dehli Auto Exchange;1957 Huntington Ave.;49;46;26/05/2005 10:33;1978-10-27 02:33:20.000;50903;82453.0231;21908;83;95556.2150;6.195728E+6;184984555.0
26;Kermit the Pet Shop;12 Skokie Valley Rd.;45;1;17/11/1970 03:20;1983-01-08 07:46:40.000;1426.;23810.7660;9126;53;25978.9850;760698.0;163182108.0
27;Hibbard Road Suppliers;1858 Balsam Way;28;34;24/11/1974 04:40;1987-09-05 09:01:36.000;26080;8442.0880;6068;5;25800.2172;2.917185E+6;672683942.0
28;Peterson Roberts Carpentry;59 Cordon Terr.;12;44;04/09/2006 21:00;1998-06-15 09:40:00.000;96110;43358.8080;4218;64;26202.8886;5.99863E+6;156492949.0
29;Acme Chemical Supply;1858 Balsam Way;6;22;29/03/2006 21:22;2002-06-08 02:33:20.000;52443;90392.0276;15611;110;99319.3420;2.365956E+6;495154610.0
30;Truck-X Muffler Repair;807 Old Trail Rd.;25;27;07/02/1974 20:13;1983-01-19 12:28:16.000;78564;35453.5004;11480;225;70306.5275;5.255841E+6;372279024.0
