"type","partName","parentPart","project","jobName","jobContext","jobVersion","threadId","logPriority","errorCode","message","stackTrace"
"JOB_STARTED","JOB:job_child_level1_resuming","JOB:job_root_resuming/NODE:tRunJob_1","WY","job_child_level1_resuming","Default","0.1","","","","","","{""context_parameters"": {
        ""runLevel2"": false,
        ""sleepTime"": 10,
        ""throwErrorAtComponents"": ""null"",
        ""throwErrorAtComponentsLevel2"": """",
        ""throwErrorAtPart"": ""main""
}}"
"USER_DEF_LOG","NODE:tWarn_1","","WY","job_child_level1_resuming","Default","0.1","","TRACE","","this is a trace message, START CHILD JOB LEVEL 1","",""
"CHECKPOINT","CONNECTION:SUBJOB_OK:tWarn_1:OnSubjobOk","","WY","job_child_level1_resuming","Default","0.1","","","","","",""
"CHECKPOINT","CONNECTION:SUBJOB_OK:tJavaFlex_1:OnSubjobOk","","WY","job_child_level1_resuming","Default","0.1","","","","","",""
"CHECKPOINT","CONNECTION:SUBJOB_OK:tJavaFlex_2:OnSubjobOk1","","WY","job_child_level1_resuming","Default","0.1","","","","","",""
"USER_DEF_LOG","NODE:tWarn_2","","WY","job_child_level1_resuming","Default","0.1","","DEBUG","","this is a debug message","",""
"CHECKPOINT","CONNECTION:SUBJOB_OK:tJavaFlex_2:OnSubjobOk2","","WY","job_child_level1_resuming","Default","0.1","","","","","",""
"USER_DEF_LOG","NODE:tWarn_3","","WY","job_child_level1_resuming","Default","0.1","","INFO","","this is an info message","",""
"CHECKPOINT","CONNECTION:SUBJOB_OK:tWarn_3:OnSubjobOk","","WY","job_child_level1_resuming","Default","0.1","","","","","",""
"CHECKPOINT","CONNECTION:SUBJOB_OK:tJavaFlex_4:OnSubjobOk1","","WY","job_child_level1_resuming","Default","0.1","","","","","",""
"CHECKPOINT","CONNECTION:SUBJOB_OK:tJavaFlex_5:OnSubjobOk","","WY","job_child_level1_resuming","Default","0.1","","","","","",""
"USER_DEF_LOG","NODE:tWarn_4","","WY","job_child_level1_resuming","Default","0.1","","WARN","","this is an warn message","",""
"CHECKPOINT","CONNECTION:SUBJOB_OK:tJavaFlex_4:OnSubjobOk2","","WY","job_child_level1_resuming","Default","0.1","","","","","",""
"CHECKPOINT","CONNECTION:SUBJOB_OK:tJavaFlex_2:OnSubjobOk3","","WY","job_child_level1_resuming","Default","0.1","","","","","",""
"CHECKPOINT","CONNECTION:SUBJOB_OK:tJavaFlex_9:OnSubjobOk","","WY","job_child_level1_resuming","Default","0.1","","","","","",""
"USER_DEF_LOG","NODE:tWarn_8","","WY","job_child_level1_resuming","Default","0.1","","TRACE","","this is a trace message","",""
"CHECKPOINT","CONNECTION:SUBJOB_OK:tJavaFlex_2:OnSubjobOk4","","WY","job_child_level1_resuming","Default","0.1","","","","","",""
"CHECKPOINT","CONNECTION:SUBJOB_OK:tJavaFlex_10:OnSubjobOk","","WY","job_child_level1_resuming","Default","0.1","","","","","",""
"USER_DEF_LOG","NODE:tWarn_9","","WY","job_child_level1_resuming","Default","0.1","","TRACE","","this is a trace message, END CHILD JOB LEVEL 1","",""
"JOB_ENDED","JOB:job_child_level1_resuming","JOB:job_root_resuming/NODE:tRunJob_1","WY","job_child_level1_resuming","Default","0.1","","","","","",""
