grp,gender,firstname,count
1843, ,Albert,158
1843, ,Albert  ,70
2259, ,Alexandre,71
2259, ,Alexandre ,71
1785, ,Didier ,591
2066, ,Anthony ,19
1991,M,Benoît,16
1991,M,Benoît ,16
93708,3F3,Catherine,356
93708,4F4,Catherine2,356
1775, ,Christian ,956
454750,M,Cl‚ment,1
454750,M,Clément ,60
100377,M,Daniel,951
100377,M,Danniel ,35
1912, ,Gregory ,15
1905, ,Jean-Jacques,148
1905, ,Jean-Jacques  ,22
100629,M,Joel,218
100629,M,Joel ,218
266467,,Marie-Therese,1
266467,F,Marie-Thérèse,21
2148, ,Nicolas,249
2054,M,Stéphane,55
2054,F,Stéphanie ,55
110697,F,Delphine,25
110697,F,Delphine ,25
100677,M,Germain,16
100677,F,Germaine,16
1878,M,Fernand,31
1878,F,Fernande,31
266851,M,Edgard,5
266851,M,Edgar,15
1890, ,Jean-Paul,237
1890, ,Jean-Pascal ,19
1890, ,Jean-Paul,237
1890, ,Jean-Paul ,237
266965,F,Katia,7
266965,F,Katrina ,7
1982, ,Lionel,128
1982, ,Lionel ,128
2379, ,Michael,34
2379, ,Michaël,42
1777, ,Michel,1713
1777, ,Michael ,1713
1813, ,Robert,262
1813, ,Robert ,262
1865, ,Roland,150
1865, ,Ronald ,150
1909, ,Rolande,7
1909, ,Yolande ,7
1771, ,Françoise,58
1771, ,François Xavier ,58
116880, ,Alexandra,112
116880, ,Aleksandra,12
2132, ,Nathalie,2193
2132, ,Natalia,193
1775, ,Christian,956
1775, ,Christiaan,98
2148, ,Nicolas,249
2148, ,Nikolaas,22
1806, ,Edouard,49
1806, ,Eduard,4
1810, ,Henri,217
1810, ,Hendrik,9
1810, ,Henri,217
1810, ,Hendrikus,48
2035, ,Ernest,10
2035, ,Ernestina,10
2026, ,Emmanuel,5178
2026, ,Emmanouél,178
2026, ,Emmanuel,178
2026, ,Emmanouíl,178
106078, ,Sebastien,43
106078, ,Sebastianós,43
2054, ,Stéphane,55
2054, ,Stéphanos,55
1871, ,Vincent,270
1871, ,Vincenzo,26
110693,F,Margaret,9
110693,F,Margarita,5
116880, ,Alexandra,12
116880, ,Alessandra,10
