U.S. Army targets saving billions of dollars in processing costs with new forms automation solution from IBM;Enterprise Information Management provides program and technical analysis and develops return on investment plan.;15 Feb 2008 03:00:00 GMT;http://www.ibm.com/partnerworld/industrynetworks/government/success.html?ca=drs-0708
Software as a Service (SaaS) podcasts;Hear what IBM is doing with SaaS with these podcasts from Dave Mitchell, program director for Software as a Service, and Rado Nikolov, director of emerging business.;13 Feb 2008 03:00:00 GMT;http://www-304.ibm.com/jct09002c/isv/marketing/saas/resources.html?ca=drs-0708#podcasts
Workshop: DB2 9.5 bootcamp;This workshop provides training on IBM DB2 Version 9.5 for Linux, UNIX, and Windows.;12 Feb 2008 03:00:00 GMT;https://www.ibm.com/partnerworld/isv/iic/events/description.jsp?event=60AF229472F3789C862571D400795336&ca=drs-0708
Podcast: February 2008 SOA community update from John Gordon;John Gordon, IBM director of WebSphere and SOA channels, describes four exciting announcements to help you focus and drive your business as part of the SOA Business Partner Community. ( Transcript , Slides );8 Feb 2008 08:00:00 GMT;http://www.ibm.com/partnerworld/isv/soa/podcasts/soa_community_0208.mp3?ca=drs-0608
Compwise gains strong lead, collaborates on joint project with IBM Russia;Compwise finds that the IBM Business Partner Application Showcase gives them the visibility they need to broaden their market.;8 Feb 2008 03:00:00 GMT;http://www.ibm.com/partnerworld/industrynetworks/howto/compwise_success.html?ca=drs-0608
IBM and Learn.com speed training and career development for employees of rapidly growing home health services company;When a home health services company doubles its employee population, it must effectively train the new employees and efficiently manage continued growth. Read about this Software as a Service (SaaS) success story and more.;8 Feb 2008 03:00:00 GMT;http://www.ibm.com/partnerworld/isv/marketing/saas/success.html?ca=drs-0608
Quixtar, a leading online retailer, deploys solution that supports 24 x 7 operations and enables planned maintenance;Solution from IBM and Vision Solutions helps Quixtar meet its recovery time objective of two hours or less in the event of an outage.;8 Feb 2008 03:00:00 GMT;http://www.ibm.com/partnerworld/industrynetworks/retail/success.html?ca=drs-0608
Christopher Wong: Lotus for IBM Business Partners: Communicate. Collaborate. Innovate.;Recently, I had the chance to attend Lotusphere in Orlando, Florida. Over 7,000 clients and IBM Business Partners were the first to learn about some amazing new products and enhancements, and you should have heard the buzz!;6 Feb 2008 03:00:00 GMT;http://www.ibm.com/partnerworld/isv/news/cwong_lotus.html?ca=drs-0608
IBM Innovation Centers for Business Partners open in Denmark, Finland, and Norway;Located with the IBM Forums, these centers offer you assistance from building to marketing and selling your solutions.;6 Feb 2008 03:00:00 GMT;http://www.ibm.com/partnerworld/isv/iic/spcabout.htm?ca=drs-0608
Workshop: WebSphere Extended Deployment V6.1;Build skills that deliver effective customer presentations and demonstrations, and perform an installation and simple configuration.;6 Feb 2008 03:00:00 GMT;https://www.ibm.com/partnerworld/isv/iic/events/description.jsp?event=9EB086FABC0C1979852573DB0054E3EC&ca=drs-0608b
