0;Label 0;0.00;2007-02-01;1
1;Label 1;0.00;2007-02-02;1
2;Label 2;0.00;2007-02-03;1
3;Label 3;0.00;2007-02-04;1
4;Label 4;0.00;2007-02-05;1
5;Label 5;0.00;2007-02-06;1
6;Label 6;0.00;2007-02-07;1
7;Label 7;0.00;2007-02-08;1
8;Label 8;0.00;2007-02-09;1
9;Label 9;9.00;2007-02-10;1
10;Label 10;10.00;2007-02-11;0
11;Label 11;11.00;2007-02-12;0
12;Label 12;12.00;2007-02-13;0
13;Label 13;13.00;2007-02-14;0
14;Label 14;14.00;2007-02-15;0
15;Label 15;15.00;2007-02-16;0
16;Label 16;16.00;2007-02-17;0
17;Label 17;17.00;2007-02-18;0
18;Label 18;18.00;2007-02-19;0
19;Label 19;19.00;2007-02-20;0
20;Label 20;20.00;2007-02-21;0
