Sebastien;SBSTN;sébastienne,sebestyén,sebastián,sébastien
Pierrick;PRK;pirkko,pierrick
Stéphane;STFN;stéphane,stefanie,stefana,stephania,stéphanie,stephen,stefania,stephan,steafan,stefano,stephany,steaphan,steffen,steffan,steven,stefan,stephanie
Stephan;STFN;stéphane,stefanie,stefana,stephania,stéphanie,stephen,stefania,stephan,steafan,stefano,stephany,steaphan,steffen,steffan,steven,stefan,stephanie
Laurent;LRNT;lorinda,lóránd,laurentiu,laurent,lóránt,laurinda
Benjamin;BNJMN;benjamin,benjamín,benjamine
Richard;RXRT;richárd,richard
Roméo;RM;remei,rémy,rim,rama,hyram,romy,roma,remo,romey,romeo,ram,rémi
Natali;NTL;natália,natalia,natalee,natalie,natale,natille
Fabien;FBN;fábián,fabien,fabian,fabienne,fabiana,fabiano
Fabrice;FBRS;fabricio,fabrice,fabrizio,fabrizia
bernard;BRNRT;bernard,bernardo
bertrand;BRTRNT;bertrand,bertrando
Mickael;MKL;mikael,mykola,micaela,mikayla,mikula,mikel,mckayla,mikkel,makayla,mikelo,miguel,mikala,mikaela,mukul,meical,miguela,miquel
Axel;AKSL;axel,aksel,axelle
Elisabeth;ELSB0;elsabeth,elizabeth,elisabeth
Maria;MR;mayra,ömer,meir,moirrey,mair,mora,merry,màiri,mara (2),meera,maura (1),myra,maaria,mór,mariah,mireia,maria,mary,mireio,moray,moriah,mária,mari,marie,maría,moyra,mauri,máire,moira,muir,maura (2),murray,mario,mauro,mira,mara (1)
Olivier;OLFR;olivier,oliver
Cédric;KTRK;godric
François;FRNS;varinius,frans,france,fiorenzo,franz,firenze,françoise,françois,franci,fiorenza
Yves;FS;vasu,fayza,fizza,fawzi,vesa,fawziyya,yves,faas
Cécile;KSL;cécile,cäcilia,caecilia,csilla
Matthieu;MT;matthieu,matteo,maudie,maitiú,mayte,matt,matty,maata,mattie,mattia,mateo,medea,matthew,meta,mette,mat,madai,maude,matti,meadow,maite,media,maud,máté
