1;label 1 with max length 30;another label with max length 40;2007-10-01;not null;nullable;
2;label 2 with max length 30;another label with max length 40 and with length 51;2007-06-31;not null;;
3;label 3 with max length exceed 30;another label with max length 40 and with length 51;2007-10-01;;;
4;label 4 with max length 30;another label with max length 40;2007-12-13;not null;;
5;label 5 with max length 30;another label with max length 40;2007-13-12;not null;;
6;label 6 with max length 30;another label with max length 40;13/12/2007;not null;;
7;label 7 with max length 30;another label with max length 40;12/13/2007;not null;;
8.6;label with max length 30;another label with max length 40;2007-10-01;not null;
9;label 9 with max length 30;another label with max length 40;2007-10-01;;;
10;label 10 with max length exceed 30;another label with max length 40 and with length 51;2007-10-01;not null;nullable but not null;


